url,price,address,bedrooms,bathrooms,living_area_sqft,latitude,longitude
https://www.zillow.com/homedetails/2907-Beanna-St-Austin-TX-78705/29395971_zpid/,"$2,395/mo","2907 Beanna St, Austin, TX 78705",2,2.0,"1,068",30.2896915,-97.7298166
https://www.zillow.com/homedetails/2802-Whitis-Ave-102-Austin-TX-78705/450219167_zpid/,"$1,395/mo","2802 Whitis Ave 102, Austin, TX 78705",1,1.0,259,30.293073,-97.740296
https://www.zillow.com/homedetails/3115-Helms-St-APT-108-Austin-TX-78705/62605740_zpid/,"$2,195/mo","3115 Helms St Apt 108, Austin, TX 78705",3,2.0,815,30.2955388,-97.7352349
https://www.zillow.com/homedetails/910A-Keith-Ln-Austin-TX-78705/450179323_zpid/,"$5,975/mo","910A Keith Ln, Austin, TX 78705",6,3.0,"3,075",30.2916125,-97.7253785
https://www.zillow.com/homedetails/2413-Leon-St-APT-101-Austin-TX-78705/29393737_zpid/,"$1,850/mo","2413 Leon St Apt 101, Austin, TX 78705",2,1.0,790,30.289231,-97.7488167
https://www.zillow.com/homedetails/2409-Leon-St-APT-301-Austin-TX-78705/29393806_zpid/,"$2,850/mo","2409 Leon St Apt 301, Austin, TX 78705",3,3.0,"1,387",30.288976,-97.748789
https://www.zillow.com/homedetails/2100-San-Gabriel-St-APT-302-Austin-TX-78705/29331946_zpid/,"$1,450/mo","2100 San Gabriel St Apt 302, Austin, TX 78705",2,1.5,816,30.2846488,-97.7485509
https://www.zillow.com/homedetails/2100-San-Gabriel-St-APT-303-Austin-TX-78705/29331947_zpid/,"$1,450/mo","2100 San Gabriel St Apt 303, Austin, TX 78705",2,1.5,816,30.2846488,-97.7485509
https://www.zillow.com/homedetails/2100-San-Gabriel-St-APT-203-Austin-TX-78705/29331942_zpid/,"$1,450/mo","2100 San Gabriel St Apt 203, Austin, TX 78705",2,1.5,816,30.2846488,-97.7485509
https://www.zillow.com/homedetails/806-W-24th-St-APT-209-Austin-TX-78705/29394264_zpid/,"$1,450/mo","806 W 24Th St Apt 209, Austin, TX 78705",2,1.0,715,30.288716,-97.746024
https://www.zillow.com/homedetails/2100-San-Gabriel-St-APT-202-Austin-TX-78705/29331941_zpid/,"$1,450/mo","2100 San Gabriel St Apt 202, Austin, TX 78705",2,1.5,816,30.2846488,-97.7485509
https://www.zillow.com/homedetails/2311-Nueces-St-APT-301-Austin-TX-78705/29394203_zpid/,"$1,650/mo","2311 Nueces St Apt 301, Austin, TX 78705",1,1.0,626,30.2873266,-97.7433137
https://www.zillow.com/homedetails/710-E-Dean-Keeton-St-APT-202-Austin-TX-78705/2071020688_zpid/,"$1,200/mo","710 E Dean Keeton St Apt 202, Austin, TX 78705",1,1.0,399,30.2895905,-97.7320454
https://www.zillow.com/homedetails/2100-San-Gabriel-St-APT-103-Austin-TX-78705/29331937_zpid/,"$1,450/mo","2100 San Gabriel St Apt 103, Austin, TX 78705",2,1.5,816,30.2846488,-97.7485509
https://www.zillow.com/apartments/austin-tx/the-parker-at-hyde-park/5Xht6W/,"$1,425/mo","The Parker At Hyde Park, Austin, TX 78705",1,1.0,724,30.29005,-97.734457
https://www.zillow.com/apartments/austin-tx/university-quarters/CgxFxY/,"$1,050/mo","University Quarters, Austin, TX 78705",1,1.0,450,30.281176,-97.739907
https://www.zillow.com/apartments/austin-tx/camino-flats-pricing-for-entire-apt/5Xhsz4/,"$1,450/mo","Camino Flats Pricing For Entire Apt, Austin, TX 78705",1,1.0,500,30.232458,-97.79444
https://www.zillow.com/apartments/austin-tx/gables-central-park-texas/5Xht4q/,"$1,445/mo","Gables Central Park Texas, Austin, TX 78705",1,1.0,678,30.3045372,-97.7401037
https://www.zillow.com/apartments/austin-tx/the-eastwood/CgKzJ2/,"$1,795/mo","The Eastwood, Austin, TX 78705",2,2.0,851,30.2190483,-97.6990239
https://www.zillow.com/apartments/austin-tx/warwick/65WbrM/,"$1,100/mo","Warwick, Austin, TX 78705",1,1.0,300,30.1549851,-97.8554231
https://www.zillow.com/apartments/austin-tx/texan-pearl/CkCgy5/,"$1,395/mo","Texan Pearl, Austin, TX 78705",1,1.0,464,30.283103,-97.746735
https://www.zillow.com/apartments/austin-tx/texan-pearl/CkCgy5/,"$2,695/mo","Texan Pearl, Austin, TX 78705",3,2.0,"1,460",30.283103,-97.746735
https://www.zillow.com/apartments/austin-tx/sandpiper-apartments/CkBQqH/,"$1,200/mo","Sandpiper Apartments, Austin, TX 78705",1,1.0,422,30.385054,-97.67481
https://www.zillow.com/apartments/austin-tx/the-quarters-nueces-house-(student-housing-rent-by-the-bed)/CjjCRM/,$949/mo,"The Quarters Nueces House (Student Housing Rent By The Bed), Austin, TX 78705",1,1.0,768,30.282382,-97.744187
https://www.zillow.com/apartments/austin-tx/carrells/5XsPtB/,$950/mo,"Carrells, Austin, TX 78705",1,1.0,650,30.305512,-97.786378
https://www.zillow.com/apartments/austin-tx/troubadour-apartments/CjvSKv/,"$1,524/mo","Troubadour Apartments, Austin, TX 78705",1,1.0,437,30.413539,-97.758091
https://www.zillow.com/apartments/austin-tx/the-quarters-sterling-house-(student-housing-rent-by-the-bed)/CjjCNf/,1950/mo,"The Quarters Sterling House (Student Housing Rent By The Bed), Austin, TX 78705",3,3.0,"1,442",30.313352,-97.919803
https://www.zillow.com/apartments/austin-tx/peppertree-apartments/5Xrqwx/,$950/mo,"Peppertree Apartments, Austin, TX 78705",1,1.0,319,30.194347,-97.752596
https://www.zillow.com/apartments/austin-tx/1883-at-cameron-house-(student-housing-rent-by-the-bed)/CjjCgb/,$625/mo,"1883 At Cameron House (Student Housing Rent By The Bed), Austin, TX 78705",3,3.0,"1,442",30.191672,-97.82462
https://www.zillow.com/apartments/austin-tx/mark-embers/CgqLXp/,"$1,150/mo","Mark Embers, Austin, TX 78705",1,1.0,550,30.270702,-97.689708
https://www.zillow.com/apartments/austin-tx/avon/5XjfKz/,"$1,725/mo","Avon, Austin, TX 78705",3,1.0,"1,450",30.3069125,-97.6991535
https://www.zillow.com/apartments/austin-tx/1883-at-montgomery-house-(student-housing-rent-by-the-bed)/CgxYpZ/,$625/mo,"1883 At Montgomery House (Student Housing Rent By The Bed), Austin, TX 78705",3,3.0,"1,442",30.341148,-97.782496
https://www.zillow.com/apartments/austin-tx/aura-thirty2/Ck2LW7/,"$1,555/mo","Aura Thirty2, Austin, TX 78705",1,1.0,546,30.2902522,-97.7235967
https://www.zillow.com/apartments/austin-tx/la-casita/CkBJmH/,"$1,000/mo","La Casita, Austin, TX 78705",1,1.0,550,30.3517455,-97.7224631
https://www.zillow.com/apartments/austin-tx/river-oaks/5Xht9S/,"$1,300/mo","River Oaks, Austin, TX 78705",1,1.0,767,30.214304,-97.965794
https://www.zillow.com/apartments/austin-tx/t-square-apartments/CkWTf4/,"$1,450/mo","T Square Apartments, Austin, TX 78705",2,1.0,950,30.159233,-97.751519
https://www.zillow.com/apartments/austin-tx/rio-grande-apartments/CgJNHF/,"$1,195/mo","Rio Grande Apartments, Austin, TX 78705",1,1.0,410,30.282663,-97.745174
https://www.zillow.com/apartments/austin-tx/hyde-park-court/5XjxvJ/,"$1,220/mo","Hyde Park Court, Austin, TX 78705",1,1.0,450,30.179048,-97.7997183
https://www.zillow.com/apartments/austin-tx/montage-west-campus/5Xht5K/,"$1,195/mo","Montage West Campus, Austin, TX 78705",1,1.0,500,30.294559,-97.7444311
https://www.zillow.com/apartments/austin-tx/avia/CkCcwh/,"$1,100/mo","Avia, Austin, TX 78705",1,1.0,385,30.284371,-97.646313
https://www.zillow.com/apartments/austin-tx/barranca-square/5XsPtM/,"$1,195/mo","Barranca Square, Austin, TX 78705",1,1.0,400,30.291157,-97.7469513
https://www.zillow.com/apartments/austin-tx/monticello-studios-hyde-park/5Xm4mY/,"$1,095/mo","Monticello Studios Hyde Park, Austin, TX 78705",1,1.0,350,30.29005,-97.734457
https://www.zillow.com/apartments/austin-tx/nob-hill-homes/5YFvmM/,"$1,499/mo","Nob Hill Homes, Austin, TX 78705",1,1.0,650,30.295928,-97.79977
https://www.zillow.com/apartments/austin-tx/melroy-north-university/5Xm4mS/,"$1,095/mo","Melroy North University, Austin, TX 78705",1,1.0,100,30.2989687,-97.7350786
https://www.zillow.com/apartments/austin-tx/campus-crossing/5XpSwG/,$875/mo,"Campus Crossing, Austin, TX 78705",1,1.0,250,30.280236,-97.730336
https://www.zillow.com/apartments/austin-tx/envoy-apartments/5XkyxH/,"$1,150/mo","Envoy Apartments, Austin, TX 78705",1,1.0,425,30.2851783,-97.7484344
https://www.zillow.com/apartments/austin-tx/30th-st-townhomes/63bV4g/,"$2,850/mo","30Th St Townhomes, Austin, TX 78705",3,2.0,"1,382",30.2943,-97.737506
